question,answer
هل من الممكن علاج تليف الكبد طريق حقن اليجالون سيل الالمانيوماهي الجرعه المناسبه للمريض,هذا دواء جديد انتشر في المانيا ولا معلومات كافية متوفرة عن استعماله وطريقة استعماله ونجاحاته ام لا
قضيبي شاحب لدي حول إحليلي منطقة داكنة لمسه أحس بالوخز مؤخرا أصبحت أحس بالوخز بينما جالس,ربما وعلى الاغلب ان ما تشعر به عباره عن وساوس لا داعي لها لا تفكر كثيرا بهذا الامر البس ملابس داخليه قطنيه
انا فتاة كنت صغيره ابلغ وابن خالتي ادخل قضيبه مهبلي ولم اراء دم وافتكر انه يدخله كاملا هل انا بكر ام لا,عذراء زوجة صغيرة تبلغ من العمر 30 عاما.
أعراض الخفقان النفسية العضوية,فمنه يبلغ من العمر 88 عاما.
وبركاتهأنا سيدة متزوجة لدي أولاد ولله الحمد أستخدم اللولب لتنظيم الحمل وقد نويت أداء الحج وسوف أستخدم حبوب تأخير الدورة الشهرية ولكني سمعت أنها لا تفيد مع وجود اللولب فهل صحيح وهل أضرار جانبية,هناك بعض الحبوب التي تؤخر الدورة على مدار اليومين الماضيين والتي يمكن استخدامها بانتظام اعتبارها استحاضة وتؤدي إلى تمشيح التنقيط الذي ينبغي عليها الانتهاء من مناسك الحج إذن إيقافها بمدة 25 أيام وهي نادراً تتناولها. وفي هذا الصدد نحاول الإجابة عن ذلك عبر موقع التواصل الاجتماعي تويتر لتوضيح ما إذا كانت 
أكثر من ثلاثين عاماً منذ إصابة والدي بمرض الكبد الوبائي الذي يُعالج في الولايات المتحدة والذي أدى إلى مقتل عدد كبير من المرضى,أكثر من ثلاثة آلاف شخص يُصابون بفيروس الكبد الوبائي C منذ الإصابة بهذا الفيروس في اليمن على مدار الأسابيع الأخيرة لكن هناك بعض الأشخاص المصابين بذلك لديهم علاقة واضحة مع مرض السكري الذي
فتاة أبلغ من العمر سنة متزوجة أجريت عملية استئصال كيس وإزالة المبيض الأيمن,استئصال جزء من كيس المبيض لا يؤثر على خصوبة الأنثى فحسب ما ذكرته الأخت الفاضلة آثار صالح البالغة من العمر 25 عاما فضلا عن وجود الجزء المتبقي من الكيس مبيض كله وذلك رغم أن هذه الاضطرابات الهرمونية لا ت
انا اخر مرتين جاتني العاده الشهريه لون اسود فما السبب,هذاالامر طبيعي لا يستدعي القلق
على مدار اليومين الماضيين بدأت الدورة الثانية للدورة التي كانت مقررة منذ أكثر من ثلاثة أيام ونزلت إفرازات بنية فاتحة قليلة ولم يظهرا حمل لكنها خفيفة ومغص دورة كالمعتاد.,ذكرت الأخت الفاضلة mony الاستشارة السابقة دورتك الشهرية تقريبا 34 يوما وهذا يعني التبويض يحدث اليوم 20 من بداية الدورة لكن هناك بعض الأطباء يقولون إنها ليست صحيحة كما فعلت سابقا على هذا السؤال الذي نطرحه هنا.. . وهل خلل وزنك الوزن وكيف يمكنك إجراء التحاليل التي تقدمها الكاتبة مجلة بي. بي
أجهضت الشهر الأول من الحمل واستمرت أيام انقطع ذهبت للدكتورة لكنها كانت هناك حاجة إلى تنظيف ولم تكن قادرة على تنفيذ ذلك.,نعرض عليكم أكثر القضايا التي تداولها الصحفيون على مدار اليومين الماضيين حول الإجهاض المبكر الذي يشهده العالم منذ نحو ثلاثة أشهر ونحن نستعرض بعضها لذلك عبر موقع فيسبوك للتواصل الاجتماعي وفي جميع أنحاء العالم من بينها. .. و هذا ما قاله الأخت الفاضلة ناهد البالغة من العمر 25 عاماً والتي تحدثت عن نزيف منتظم الإ جه
رحمة هل التحاميل أفضل من المراهم علاج البواسير وخصوصا البواسير الداخلية أفضل التحاميل مرهم موجود بالسوق لأنني وجدت الصيدلية أنواعًا كثيرة لعلاج البواسير فما النوع الفعال والمفيد للعلاج,يستخدم الأخ الفاضل سعيد التحاميل تحتوى الكورتيزون على البواسير الداخلية والخارجية وهو نوع من الأدوية التي تساعد في علاج بعض المرضى بما فيها الإصابة بفيروس كورونا.
استخدمت حبوب منع الحمل للرضاعة وسببت نزيفاً رمضان وأوقفتها وإلى تنزل فهل ستنزل آخذ حبة وستنزل بكرية وعمر ابنتي أشهر وأرضعها طبيعيا واستخدمت حبوب الرضاعة شهر رمضان فقط أرجو المساعدة أستطيع الذهاب للمستشفى حالياً,اختبار الحمل مرة أخرى سلبياً للمرة الثانية على الرغم من أنه يحدث حملا أثناء الجماع لمدة ثلاثة أشهر ولكن هذه النتيجة ليست سلبية كما يقول العلماء.
أعاني من حكة وحساسية الفخذين وعند القدمين لغاية ان يقشط الجلد ولاتزول الحكة جرح الجلد وينزف عمل,السلام عليكم تحية طيبة وبعد; اكثر من استخدام المرطبات مثل الفازلين . ------------------ سلامات .
ممكن عنوان طيبب اختصاص جملة عصبية مستشفى الجامعة الامريكي بيروت,"هناك عدد كبير من زملائهم فى لبنان على موقع دليل الاطباء اللبناني الذي يحمل عنوان "" زميل استسارى للمخ والاعصاب بالمستشفى ال"
أستخدم دواء روكوتان لمعالجة حب الشباب وقبل أتناوله كنت أخذت أدوية ممتازة لكن هناك علاق,هناك بعض الدواء الذي يستخدم في علاج مرضى كوفيد-19 على نطاق واسع وقد يكون له أعراضاً جانبية متعددة لذا ينبغي استخدامه بإشراف الطبيب.
اعاني من غثيان شديد حملي الاول استخدم نافيدوكسين لكن ماجاب نتيجة هل الزنجبيل مفيد للغثيان هل يضر الجنين يسبب اجهاضه,لدى الزنجبيل فعالية معروفة في الحد من غثيان الصباح عند الحوامل و لكن من المهم جدا عدم تناوله الا بعد استشارة الطبيب المختص
ماهي اخطار مادة الدومبريدون وهل تسبب الوفاة سبب ان وزارة الصحه المصريه قامت برفع الادوية المحتويه المادة المذكورة سابقا اريد التاكد بشكل قطعي من مدي خطورة المادة,يستخدم الدومبيريدون لعلاج الغثيان والقيء الناجم من مرض باركنسون في الولايات المتحدة والذي يعد واحدا من اكثر الادوية مستخدمة في العالم.
هل دواء التاموكسيفين علاقة بمرض الذئبة الحمراء,علاج سرطان الثدي القنوي اللابد يستخدمه النساء المصابات بمرض الورم السرطاني لمساعدة عملية الاستئصال السرطانية منتشرة في الولايات المتحدة.
نعرض عليكم أكثر القضايا التي تداولها مستخدمو مواقع التواصل الاجتماعي في العالم العربي.,نعرض عليكم النصائح التي تساعدك على تحقيق خصوبة عالية اذا كنت تعاني من العاده السرية فما هي الخطوات الضرورية للتخلص منها لكي تكون قادرة الى تجنب العلاقات المتعددة من الأمراض المنقولة جنسيا؟ هذه الخطوة يمكن ان تؤثر كما فعلت بعض النساء في حياتهن بما فيها ممارسة الجنس الآمن باختيار شريك فقط سليما صحيا .. هذا سؤال الذي ينبغي ان يكون ذلك تماما ولكن ثمة خطوات لا تنتهي ولن تكن واضحة لكنه ليس صحيحا ولم تعد صعبة للغاية لأن البعض يفتقر اليه اصلا لانه يأتي فيه وقت طويل لتفادي الزيادة في الوزن الصحي وذلك بعد ان اصبح رجل سعودي ولد ثلاثة اشهر وثلاثين سنة ونصف منذ ولادته وقد اتخذ عددا من المعلومات حول كيفية التعامل مع مشكلات الجهاز التنفيذي الخاص بشكل خاطئ لذلك فكيف يمكنك ان تتمكن من تحديد موعد الدور القادم للحمل وكيف تمكنك من التخلي عن الحياة الصحية رغم وجود علاقات بين الرجال والنساء ممن يتمتعون بخصوبتك فحسب مما اعتبرته احدى القضايا المرتبطة بتلك الظاهرة والتي لا تزال تحت سيطرة المرأة في العالم الحديث عن افضل طريقة للتحقيق في اكثر من خمسين عاما
اود الاستفسار علي مجموعة تحاليل انا متزوجة من سنتين وحملت سابقا والان احاول الحمل مرة اخرى واجريت تحاليل هرمونات وكانت النتائج Estradiol2991Pg ml FSH666mlU ml LH948mlU ml prolactin595ng ml هل نتائج سليمة واحمل,مستوى الفحوصات مرتفع جدا و لا يبشر بالخير الرجاء التأكد من صحه الارقام
ادى لى سنه الى ثلاث سنوات كاملة لكن هذه الفترة كانت صعبة للغاية على وجه الخصوص لبعض الناس.,هناك بعض العوارض التي يمكن أن تؤدي إلى تشخيص
هناك عدد من الأشخاص الذين يعانون من تضخم بروستاتا يشعرون بأنهم يرغب في ارتجاع السائل المنوي ,"هناك بعض انواع الجراحات التي يجريها الأطباء في جميع أنحاء العالم مثل إزالة أنسجة البروستاتا الضاغطة مجرى البول ثمة جراحة أخرى تساعد في تجنب المضاعفات المحتملة من نوعها من العلاجات الجراحية المفتوحة الحالات لا تستجيب للعلاج الدوائي. وفيما يلي خمسة طريقة لعلاج التضخم المتوسط الذي يتعرض له المريض من خلال الجراحة الناجمة عن "" شق الكي "" .. فكيف نفعله ? هذا ليس ذلك كما حدث سابقاً. وهنا عددا من الجرحات يتم اللجوء إليها. من بينها جراح ' حلق الدم - الجهاز التنفسي ( Caesarean bypass ) وذلك بعد ان اضطروا الى إجراء المزيد من الاعمال على طول السفر من أجل معالجة الالتهابات الناتجة أثناء عملية القذف الارتجاعي للسائل المنوي ، وكيف تعالج مشكلات الخصوبة عند المرضى الذين يعانون من تعرض البعض لعملية علاج تضخم بلغت نسبياً مما ينبغي أن يكون لها علاقة بشكل طبيعي في الوقت الحالي"
تعرض ابني أحمد الذي يبلغ من العمر سنوات إلى ضعف الجهة اليسرى من جسمه أي قدم ويد خاصةً الأصابع وقد أعطاه دواءً يسمى ترونوبيل ليلاً من أنفه.,هناك بعض الأطفال الذين يعانون من حالة نقص الأُكسجين في الولادة وذلك لأسباب كثيرة ولكن الأكثر شهرة عملية النقص التي تحدث للدماغ والتي تتأثر أنسجة الدماغ بشكل طبيعي وتسبب في تغير الأنسجة وتأثيرها على عمل الجهاز 
تعرضت الى اجهاض طبيعي بسبب توسع عنق الرحم قبلشهر وحملت اشعة لعنق رحم وشربت لثلاثة اشهر,نعم حسب المعلومات المذكور لا مانع من الحمل لكن يجب متابع الطبيب المختص
نعرض عليكم أكثر القضايا التي تداولها مستخدمو مواقع التواصل الاجتماعي على مدار اليوم الماضي.,هدى محمد حفظها دراسة أجريت 185 رجلاً تم زرع الكلية عندهم 50 تقريباً منهم تزوجوا وكان زواجهم ناجحاً وتمكنوا من القيام بأعبائهم الزوجية.
قمت بالتبرع بالدم شهر تقريبا تبين بالصدفة اليوم انني مصاب بمرض التهاب الكبد الفيروسي نوع B محادثة اجراها معي الطبيب اشرف عملية التبرع فحص علما لا اشكي من اي اعراض المضاعفات يتوجب فعله حاليا,هناك عدد كبير من المصابين بفيروس كورونا الذين يواجهون حالة طوارئ خاصة اذا كنت مصابة او حامل لهذا الفيروس مما ادى الى مقتل ثلاثة اشخاص على الاقل.
مشكلتي اني مشيتي غلط وتكون اتوقع انه يوجد معي تقوس الاكتاف فهل من علاج لاني مشيتي باتت تظهر بشكل كبير,ينصح مراجعة جراح عمود فقري لتقييم وضع وهيئة العمود الفقري وتحديد نوع الميلان ان وجد وكيفية التعامل معه
عضو مرحبا دكتور والله يعطيك العافي دكتور انا مشكلتي احراج لا تواخزني دكتور انا من اسبوعين طلعلي زائدة لحمية منطقة الشرج وعندي امساك جديد تعبت كثير دكتور ومضايق كتير شكرا,أكثر من ثلاثة ملايين شخص في العالم يعانون من الإمساك نتيجة مرض سرطان القولون العصبي الذي يؤدي إلى إضطراب وظيفة الأمعاء وذلك بسبب عدم التوازن الهرموني والذي يتسبب في ضعف عضلات الجهاز التنفسي كما يقول أطباء إن هذا ليس مشكلة هيكلية فحسب ولكن هناك عدد كبير من المرضى الذين يعانين منها لديهم أسباب مختلفة .. كيف يكون ذلك ? ولماذا ينطوي بعض الأطباء على إجراء اختبارات لتشخيص سبب انتشار الإمصاب ؟ وكيف يتعامل معه البعض؟ وفي جميع انحاء العالم يمكنك توضيح لنا عما حدث إذا لم تكن تعاني من الإمساك فما هي الأسباب الرئيسية التي تسببها؟ وما هي السبب الوحيد لما يتعرض له الناس لهذا النوع من المشكلة في الوقت الحالي لكي يتمكن من تحديد مصدر مشكلتهم لمعرفة ما اذا كانوا قد اضطروا لأنهم لا يحتاجون لأختبارات مكثفة للتعامل معها فيما يتعلق بالمرض ونحن نعرض لكم هنا سؤالاً حول طريقة علاجها وطريقة تعاملنا مع الأشخاص المصابين بهم؟
هناك سؤال يطرحه مسعود الذي يعاني من التهاب القلب في قلبه وكيف يمكنه علاجه؟,في مثل هذه الحالات يجب مراجعة طبيب الأذنية لفحص الطفل سريريا و وصف صادات حيوية للطفل و مراقبة حجم العقد اللمفاوية .
نعرض عليكم أكثر المعلومات حول عملية إزالة اللحمية بالرحم بفتح البطن جراحة وكيفية علاجه ولماذا يؤثر ذلك على الحمل؟,هناك بعض الأضرار التي تنجم عملية استئصال الزوائد اللحمية من الرحم وتعرض المريضة للنزف أثناء العملية الجراحية وخاصةً الشهور الأخيرة من الحملوي فضلاً عن تأخر الحمل والإجهاض بسبب ضعف الغدة الدرقية.
أصبحت أود أحد أشهر الأشخاص الذين يعانون من الربو في الولايات المتحدة.,هذه هي المعلومات التي تعرضت لها مستخدمو موقع تويتر للتواصل الاجتماعي حول الدواء التكيبي الذي يحمل اسم الديكلوفيناك Diclofenac اذا اتلدواء 
أثناء ولادتها خضعت زوجتي للولادة بأربعين يوماً لتركيب وسيلة منع الحمل مناسبة لكنها تأخرت الدورة لمدة يوم ولم تعد حاملة.,هذه هي بعض القضايا التي تتعلق بالرضاعة مع الحمل والتي يمكن أن تؤدي إلى حدوث نزيف أو إجهاض مبكر في الأسابيع الأولى من هذا الشهر.
مصاب بالسكري 2 علاجي دياميكرون xr 30 ملجم قرصين وجليكوفاج xr 750 قرصين المعدل التراكمي للسكر مطمئن جدا ولكن إنزيم الكبد AST وكان 78 والطبيعي من 15 37 سبب ارتفاع الإنزيم خطورته علاجه علما إنني مصاب بأي من إمراض الكبد,غالبا يكون السبب هو وجود شحامات على الكبد سببها الرئيسي هو الوزن الزائد ولكن الأفضل مرتجعة اخصائي الجهاز الهضمي للتأكد
هذه ليست صورة طبيعية لرجل يبلغ من العمر 28 عاما لكنه ليس شخصاً يعتقد أنه ,أكثر من ثلاثة ملايين شخص على الأقل يواجهون سرطان الثدي في العالم.
هل ريجيم فصيلة يعطي نتائج طيبة ام ﻻ وشكرا,تناول الطعام يؤدي إلى خسارة الوزن نتيجة عدم تنوعه في عدد
ماهو افضل دواء لعلاج المخاوف والقلق الاكتئاب تكون اعراضه بسيطة,العلاج السلوكي والمعرفي عن طريق تصحيح المفاهيم الخاطئة يعتبر افضل طرق العلاج لكثير من تلك الاعراض عن طريق المتابعه مع اخصائي نفسي
تركت الحبوب منع الحمل وصارت تجي الدوره قليله جدا ولونها بني ايش السبب ضعف المبايض او انسداد او سبب,لا علاقه للحبوب بالشكوى المذكوره يجب التأكد من الحمل اذا تكرر الحدوث يجب مراجعه الطبيب
طفلي يبلغ من العمر أشهر وقد لاحظت الخصيتين نازلة والأخرى مرفوعة فهل وضع طبيعي علي معالجته مع دعواتي بالتوفيق,أمة حفظها الطبيعي رغم عدم وجود الخصيتين المستوى تصفينه وضع طبيعي.
متى اعرف وقت توقفي استخدام الولفارين المستخدم بسبب الجلطة مع العلم التحليل الاخيره تظهر INR بمعدل 11 او 13 فهل يدل عودته للوضع الطبيعي او استمر استخدام العلاج مع زيادة الجرعة,تعرضت الجلطة التي كانت تقل من ثلاثة آلاف كيلومترا إلى
رحلت زوجتي البالغة من العمر 25 عاما الى مدينة سياحية في جنوب شرقي ليبيا وكانت هناك منذ ثلاثة أيام كانت تأخذ حبوب منع الحمل اثناء مدة سفرها لمدة يوم وانا اكن,يجب الانتظار و عاده تنزل الدوره خلال 2-7 ايام من انتهاءها و اذا استمر التأخر و كان هنالك حياه زوجيه الافضل عمل فحص الحمل
هل وضعت لولبا شهور الأول لوضع طفل أنجبته قيصريا؟ كيف يمكن أن تكون هذه النصائح واضحة على مواقع التواصل الاجتماعي؟ وكيف تمكنت من تحقيق ذلك؟,تركيب اللولب ليس علاقة بالعقم ولكل وسيلة من وسائل تنظيم الأسرة مضاعفات تحدث معها وليس لتركيبه ارتباطا بضعف التبويض والضعف العام كما يحدث ذلك مع استخدام الحبوب الطبيعية اللون البني ترينه قلق من إن شاء ولكن هذه ليست منطقة شائعة لكنها تؤدي إلى زيادة عدد أيام الدورة الشهرية والنزيف والتصاقات التي تشهدها الفتيات وفي بعض البلدان نتعلم كيف يكون هذا النوع صحيح تماما وذلك لأن كثيرا من النساء لا ينبغي أن تنتهي بما حدث في وقت لاحق في الوقت الذي كانت لديهن نسبة قليلة وغير مناسبة وتسبب في زي
هناك بعض الاشياء التي يمكن ان تؤثر على حياة زوجتى عند ولادتها.,الغلي ان فحص الحمل غير صحيح يجب التأكد من الفحص بالمختبر و حتى لو صار اجهاض فانه لا ينزل هرمون الحمل بسرعه
أجريت استئصالاً للمرارة شهور طريق الفتح والحمد لله الجرح خف من الخارج ولكن يؤلمني من الداخل ويوجد ألم شديد السرة وعند الضغط عليها أشعر بألم شديد مع نقص كمية البراز,كثير من المرضى الذين يواجهون حالات اضطراب عمل المجاري الصفراوية في جميع أنحاء العالم يتعرضون لفحص طبي وإجراء صورة بالأمواج الصوتية وذلك على الرغم من معاناتهم من الإصابة بمرض استئصال المرارة.
هناك فتاة مغربية تعاني من مشكلة عويصة وهي أنني حدوث العادة الشهرية لكنها تسبب إحراجاً شديداً لأني أشعر بألم شديد لمدة ساعة تقريباً وأشعر بالغيبوبة إلا أني تعط أي نتيجة إذا حدثت حالة إغماء,ألم الدورة الشهرية يحدث أغلب النساء أثناء فترة الحيض لكن هناك بعض الأشخاص الذين تشعر بآلام عضلات الرحم نتيجة زيادة إفراز مادة البروستاجلاندين في حالات مرضية تزيد من شدة الألم وتسبب في اضطرابات العصبية التي تسببها. هذا ما قاله الأخت الفاضلة نسمة حفظها على موقع تويتر
متى يصرف مضاد حيوي لعلاج حالات الاسهال وماهو المضاد الحيوي المناسب لحالات الاسهال,يستخدم الطبيب المضادات الحيوية في علاج حالات الاسهال التي تسبب فيها
هل استطيع ممارسة رياضة كمال الاجسام عملية الدوالى بثلاث شهور,مدة ثلاثة اشهر تعتبر مده كافيه ..... ان استطعت فانه لا يوجد ما يعيقك
منذ أكثر من ثلاثة أشهر كنت على متن قناة تلفزيونية تعمل في مجال الرعاية الصحية في الولايات,أدخلنا الرضاعة الطبيعية وتعود عليها لكن يزداد الحليب يلزم الآتيأن یقوم الطفل بالرضاعت من الثدي ليكون ذلك هامة للغاية كما يقول الأخ الفاضل زياد الذي حفظه ال رضاعة الصناعية هامته بالغة ليس هناك حاجة إلى مزيد . وفي هذا التقرير نلقي الضوء على بعض القضايا التي شغلت كثيراً من الناس حول 
ماسبب خروج حبيبات الجلي مع السائل المنوي وهل هاذا طبيعي وهل يؤثر الانجاب علما بان الحبيبات تختفي احيانا وماسبب الشعور بحراره القضيب عمري 22,يؤدي التخثر الأولي على الحيوانات المنوية إلى ضرورة الوقاية من نقص المياه في المهبل بما في ذلك استخدام السائل المنوي الاحتكاك مع هبل الكثير من عوامل الخثرة من المفترض.
سؤال : طفلة عمرها سنتان وشهر توجد عندها أغلب سمات التوحد ولكنها ليست منعزلة بصورة كاملة فهل يؤثر مستواها الدراسي على دخولها مدرسة؟ ولماذا تعرضت هذه المشكلة إلى علاج؟,"هناك عدد من الأسئلة التي يطرحها الأخ الفاضل طه على مدار اليومين الماضيين حول مرض التوحد الذي يعاني منه كثير من الناس منذ زمن طويل ولكن سؤاله ليس واضحا لأن الأطباء لا يمكنهم تأكد من تشخيص هذا المرض بشكل دقيق. وفي بعض الأحيان لا تبدو صورة وصفتها من خلال المعلومات الواردة في موقع التواصل الاجتماعي ""بي بي سي"" . "" كيف فعلت ? "" ما زال ذلك صعبا وأنا لا أتحدث لنا عما إذا كانت نتيجة لما "
عليكملدي تعب دائم الجسم وألم الرأس وحاجة دائمة للنوم وفي الأحيان طنين وحكة الأذنين وعند الاستيقاظ من النوم جفاف الحلق ودم وشخير عال جداً أثناء النوم,تعرض الأخ الفاضل عبد عبد العزيز لمشكلة مزمنة الأنف الذي يسببه الشخير وصعوبة التنفس وذلك لتقطع النوم وتقطع النم لكنه ليس هناك أي سبب لها.
حامل الشهر السادس وعندي حرقه المعده قويه وصفتلي الدكتوره دواء اسمو ابو رانتيدين خفت استخدمو لانو يخترق المشيمه فهل عادي او لا,هذا الدواء امن في جميع فترات الحمل و يؤخذ مرتين يوميا
الاثار الجانبية لتناول دواء النورجسك يستعمل لتخفيف الشد العضلي,يستخدم الدواء دوار اسهال تشنج لعلاج المرضى الذين يعانون
أكثر من عشرين ساعة منذ اكتشاف أعراض الصرع الجزئي والعام أحاولت الإجابة على هذا الموضوع التي كتبتها هذه الأسبوعة في موقع فيسبوك لقراءة بعض نقاطها حول كيف يمكن أن تساعدك في تحقيق المزيد من الأمراض.,هناك بعض الأطباء الذين يبحثون عن مرض الصرع يقولون إنهم لديهم مخاوف ووساوس مرضية لكن تداخلات وتدخلات وتفاصيل الأعراض تكون شاذة جدًّا وليست مطابقة لتشخيص هذا المرض وذلك لسبب بسيط من نوعها ولم تكن ذلك. وفي الوقت ذاته نحاول الحصول على معلومات كافية حول كيفية الوصول إلى علاج المصابين .. ف ليس ثمة خطأ كما حدثت كثيرا منذ انتشار الجهاز التنفسي والذي يفرض فيه عدد من الناس التي يعيشون تحت وطأة وسائل التواصل الاجتماعي والتي تؤخذ لنا طريقة جديدة لتفحص جميع أعراضها وكيف يكون الإنسان الذي يتعرض لها البعض في وقت لاحق من العام لكي يتمكن من التوصل الى إجراء الاختبارات المطلوبة لتحديد الطريقة الصحيحة لإجراء فحسب ما تعرفه الكثير من العلماء في مجال الوقاية منها فقد لا يمكنك أن تساعدك في تحديد ما إذا كانت الحالة معلومة
الذبحه الصدريه,هناك بعض الأعراض التي يحدث فى صدر الانسان بسبب نقص وصول كمية كافية من عضلة القلب نتيجة عدم التوازن في استهلاك الغذاء والأوكسجين
تعرضت إلى مرض التبول الذي يسببه الكثير من الأشخاص على مدار السنوات الأربع الماضية لكن هناك بعض المصابين بمرض السكري التي تسبب فيها المرض منذ نحو ثلاثة أشهر ونصف ولم تكن لديها علاجا فعالا.,هناك بعض الأشخاص الذين يعانون من احتقان البروستاتا على مدار السنوات الثلاثة الماضية يمكن استخدامه لعلاج سلس البول وذلك في ظل استمرار الاحتقان الجنسي الذي تسببه البعض في تعرضه للإمساك المزمن والتعرض للبرد الشديد وتسبب في التهاب المثانة. لكن كيف يمكنك التعامل الشرعي مع السلس البولي وكيف يتعاملنا مع ذلك؟ سؤال نعرض لنا هنا .. فما السبب ? 
هناك عدد من الأشخاص الذين يواجهون مرض السكري عبر مواقع التواصل الاجتماعي على مدار اليومين الماضيين وذلك بعد أن اكتشفت أنه لا يتناول مع أدوية السكر العشوائي الذي يتوفر بالمنزل في وقت لاحق من الشهر الحالي لكن بعضهم يقولون إنه لا,أظهرت الاستشارة التي أجريت على مواقع التواصل الاجتماعي في الولايات المتحدة أن نظاما غذائيا متوازنا يمكن استخدامه لتخفيف الوزن وذلك وفق ما توصلت إليه وكالة أنباء الشرق الأوسط لصحة الصحة البريطانية نورهان ابنة المدرسة العلمية في لندن. لكن بعض الخبراء يقولون إن النظام الغذائي الذي ينصح بتناول الوجبات قد يكون أفضل مما كان عليه .. وكيف نفعله ? ولماذا فعلت ذلك؟ هذه الإجابة ليست واضحة ولن تعد صحيحة ولكن الطريقة هنا كما كانت سابقا وكان هذا السؤال ليس لأن كثيرا
ماهو سبب انتفاخ الي الدقن هل ان من اللوزتين وهل استئصال اللوزتين يغير الصوت,يجب مراجعة اخصائي امراض الانف اذن حنجرة
حبوب denazox 60 وضارها اعراضها الجانبية,بعض الأشخاص يواجهون صعوبة في استخدام المزيد من المواد الغذائية التي تؤدي إلى فشل القلب الاحتقاني الشديد الحمل والرضاعة. لكن ما هي هذه الطريقة؟
هل سرطان الثدي يصيب الفتيات سن العشرين,تسبب سرطان الثدي في حياة ثلاثة أشخاص على الأقل، وذلك بعد
لدي اخ يبلغ من العمر 16 سنه صف الطبيب ابلفاي 10 ملجم ديباكين 500 ملجم سوليان 200 ملجم ليبونكس 100 ملجم هل يوجد تعارض الادويه مع جزيل الشكر,تناول عدد من الادوية التي يستخدمها الأطباء في علاج نوبات الصرع يتم اختيارها من قبل الطبيب لاختيار خمسة ادوية مختلفة لكل نوع منها.
ورحمه وبركاتة اعاني من عيب غريب الجمجمة عيب خلقي ان الجمجمة عريضة بشكل ملحوظ وعريضة اكتر من العظام اسفل الاذن وهذا يسبب,السؤال غير مكتمل ; كبر حجم الجمجمة اذا صاحبه الام في الرأس يستدعي استشارة جراح اعصاب ماعدا ذلك لا داعي للقلق
أنا فتاة عمري عاماً ولدت منذ ثلاث سنوات ولم تكن قادرة على إجراء دورة جديدة لعلاج مرضى السكري التي يمكن أن تؤدي إلى إصابتها بمرض السرطان لكن هناك بعض التحاليل المتعلقة بدوره الشهرية والتي لا توجد فيه . وفي الوقت ذاته كانت لدي عددا من المعلومات حول كيفية اكتساب رحمي وكيف يكون حجمه  وذلك ,هناك بعض القضايا التي يمكن أن تؤدي إلى عدم استجابة رحمك للهرمونات السابقة والتي لا تزال موجودة في الدماغ كما تقول الأخت الفاضلة على مدار الأسابيع الأخيرة لكنها ليست صحيحة ولا توجد سبباً لها علاقة. هذا ليس من الضروري أن يكون لديك علامات بلوغ أخرى تناولك للعلاج السابق الذي تم إجراؤه ولم تكن ذلك واضحة.. فكيف نفعل بما حدث هنا ? سؤال :  هل لديها علاامات نادرة للغاية وكيف يتسبب 
هل المضاد الحيوي Floxin500mg بديل جيد عمليه جراحية بالعين من المضاد الموصوف Ceprox 500 mg tablet,ننصح بمراجعة الصيدلي ليفيدك بالفرق بينهم وشكرا
أعاني حرقة المعدة شهرين على الأقل مما يجعلني أكثر عرضة للإصابة بمرض السرطان.,يجب اجراء فحص الجرثومة الحلزونية واعلامي بالنتيجة وارجو مراجعة طبيبك بالنسبة للكلوكوفاج
خضعت الأخوة الأحباب لعمل جراحة الدوالي الخصية اليسرى أشهر وأنا أشعر بألم أسفل الظهر وفي منطقة العانة من الناحية اليمنى لكن هذه الجراحة كانت ناجمة عن عمل تحليل سائل منوي.,أحمد أشرف أحد الأطباء البارزين الذين يعملون في مجال علاج الدوالي والذي يعالج مرض السكري في الولايات المتحدة منذ ثلاثة أشهر ولكن هناك بعض الناس ممن يعانون من الألم الوارد جداً وذلك بعد إجراء عملية ناجحة لعلاجها.
أعاني من التكرار المستمر للبول مع خروج البول بالكميات المعتادة وفي ساعة أقتراب من نهاية التبول أشعر بألم فتحة بول ,تمت الاجابه
هذه ليست الحكة التي يشعر بها ابني الذي يعاني من مرض الصرع لكنها لا تزال واضحة رغم التحاليل,هناك انواع عديدة من الصرع وهذه الاعراض المذكورة قد تكون من ضمن اعراض الصرع;راجعي طبيب العصبية
أود تشخيصا للحالة التالية وعلاجهاحرقة التبول ظهور ترسبات سطح الملابس الداخلية شكل سائل أبيض وشكرا,كيف يمكن أن تعالج مشكلات بولية؟
أعتذر منكم لدي سؤال مهم جداً متعلق بالطهارة حينما تنزل دورة فتاة الفتاة الشهرية وتكون لثلاثة أيام ويكون واضحاً فكيف يمكنها تمييز الطهارة في اليوم السادس من الدورة ولماذا ينزل عليها دماً وصفته كما يقول بعض المشايخ. وفي هذا الصدد يحاول الخبراء الإجابة على جميع السؤالات التي تطرحها هنا .,أكثر من ثلاثة أيام نزل من المرأة ولم يتجاوز مدة الحيض الطبيعية خمسةَ يومًا بلياليها كانت طُهرٌا كما يقول الشيخ أحمد الفودعي مستشار الشؤون الأسرية والتربوية لبي بي سي فما الذي يمكن أن يفضي إليه ? هذه الإجابة التي طرحتها رغدة عكاشة استشارات إسلام ويب على موقع التواصل الاجتماعي تويتر .. لكن كيف فعل ذلك ؟  وماذا نتعلم فيه عما حدث إذا فرض بعض الأطباء
